Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9,Cycle10,Cycle11,Cycle12,Cycle13,Cycle14,Cycle15,Cycle16,Cycle17,Cycle18,Cycle19,Cycle20,Cycle21,Cycle22,Cycle23,Cycle24,Cycle25,Cycle26,Cycle27,Cycle28,Cycle29,Cycle30,Cycle31,Cycle32,Cycle33,Cycle34,Cycle35,Cycle36,Cycle37,Cycle38,Cycle39,Cycle40
26.6578,14.08485254,7.719379164,10.26436,11.84702188,17.99949018,16.62487694,41.85158457,56.04745187,NaN,51.03062183,51.87162953,25.84462863,23.94202181,24.3081856,26.26997284,30.17757213,34.82657779,NaN,43.12931904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.73935269,13.12946273,16.72327914,NaN,21.0767979,21.09169944,24.75807558,20.13624067,NaN,14.65762611,NaN,15.94126354,22.05625069
26.1517,13.66971236,7.7525397,10.3841092,11.32124456,18.25363632,17.20803643,42.37010936,57.30510885,NaN,53.04573494,52.47000405,27.03577749,24.39041617,24.97280575,26.44197548,NaN,35.54750911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.688221979,13.32001597,16.96129945,NaN,21.02339847,21.39413861,24.90975579,20.14532535,NaN,14.98867822,NaN,15.91989959,22.30732321
26.0167,13.41572629,8.170990336,10.78452565,11.04025158,19.19031578,17.63099742,42.89262017,58.45378392,NaN,54.82765069,53.16045786,27.99740368,24.43849115,25.15546671,26.78167465,NaN,36.02677601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.317694607,13.35454609,17.11544888,NaN,21.16624113,21.15899801,25.2903747,20.2325625,NaN,14.80830464,NaN,15.97043293,22.36180739
26.4849,13.53895588,9.04609386,10.73031768,11.14918497,19.60058262,17.44295767,43.26322495,NaN,NaN,56.53723989,53.42197233,28.5746514,24.49222564,24.75364046,27.29295055,NaN,36.02414717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.132069105,13.16906666,17.2,NaN,21.2422981,21.06111569,25.14078667,20.71560917,NaN,14.77869151,NaN,16.09848064,22.57844932
26.6182,13.85317172,9.416787,10.8038964,11.81502638,19.19730289,17.07766571,44.00726367,NaN,NaN,57.85182434,53.68364819,29.2172728,24.64462512,24.60881195,27.61369571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.25521834,12.86215908,17.35126268,NaN,21.23346523,21.18096502,24.70473145,21.22779631,NaN,15.1385919,NaN,16.29303837,23.1730631
26.1774,14.39374026,9.281077267,11.32212479,12.41532424,19.12741577,17.80300502,45.13038853,NaN,NaN,58.40893474,53.63108843,29.50377958,24.54565405,24.89320007,28.29460865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.370009078,12.76225399,17.22321935,NaN,20.66329855,21.36164176,24.54236839,21.67187931,NaN,15.15367446,NaN,16.96550277,23.65028293
25.6199,14.59686085,9.186936122,11.5655017,12.8232123,19.31489291,18.43935793,47.03092135,NaN,NaN,58.66834936,53.6969559,NaN,24.36348535,25.80517451,29.09293404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.359900733,13.01311387,17.00410197,NaN,19.9868776,21.2715828,24.69979798,21.76311268,NaN,14.8565089,NaN,17.28481321,23.97386431
25.5464,14.02984697,9.309227238,11.64473923,13.06129263,19.39339363,18.40286053,48.31850279,NaN,NaN,58.69008152,55.24862115,NaN,24.39109809,26.79717418,29.46739025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.050334884,13.33752615,17.00295477,NaN,NaN,20.96414678,24.59102259,21.77439081,NaN,14.65586462,NaN,17.31637379,24.10419295
26.1691,13.31639296,9.356970008,11.75917074,12.99244101,19.41929079,18.13497479,49.29234728,NaN,NaN,58.82004912,56.55664034,NaN,25.00811527,27.16956138,29.5464819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.216376529,13.35464414,17.33045444,NaN,NaN,20.71461718,24.7415426,21.78528061,NaN,14.75311219,NaN,17.32013014,24.48390715
26.7942,13.41467781,9.191513348,11.35759759,12.74612824,19.62921718,18.42001134,49.95425573,NaN,NaN,58.95854113,56.78459541,NaN,25.38156619,27.11037283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.651600305,13.2044113,17.7308789,NaN,NaN,20.85600941,25.42197721,21.9005586,NaN,15.16209087,NaN,17.55530258,24.73368853
27.2023,13.63708444,8.96793899,11.27100179,12.3897706,20.11788536,18.82336103,50.7730804,NaN,NaN,59.41916565,NaN,NaN,25.31899571,27.56622663,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.462453626,13.21387517,18.16833956,NaN,NaN,21.30925863,25.94395638,22.34427245,NaN,15.41161569,NaN,17.73290314,24.89675673
