Kb,Ki,Kc,Ks,y_pred,y
4.66E-08,2679.195959,4.50E-09,0.011664984,22.8354613,23.9508953
2.85E-08,6674.048219,0.00517081,8.94E-09,22.69614273,24.39180937
1.06E-07,7281.664141,1.05E-08,4.38E-09,28.01278273,24.72047704
8.51E-09,6640.392437,1.20E-08,0.013882489,24.11884977,24.82826704
4.62E-08,7953.723639,6.92E-07,1.34E-05,24.19113562,24.73878588
4.81E-08,2123.925569,5.80E-09,0.0121516,25.6610802,24.53341011
3.50E-08,3661.913707,0.012070943,6.60E-09,25.33073587,24.27351132
7.06E-08,5122.600637,6.25E-09,0,26.05484625,24.02943672
1.04E-07,4.60E-06,0.008391579,0,26.94616113,23.81768407
3.44E-08,817.3422885,0.02151333,0.000795387,26.18515154,23.57564558
3.29E-08,6271.062414,0.004185142,5.85E-09,25.79874515,23.29290922
4.48E-08,3982.837428,0.005900723,0.000621233,26.25040382,23.94033979
8.23E-09,202.7523694,0.026999296,0.002016755,26.75961834,25.21747819
3.96E-08,890.93238,0.018994011,0.000272569,27.35637367,27.73151998
8.37E-09,556.8675604,0.027106803,0.001063217,28.21444618,32.39220766
1.80E-08,10.28103402,0.022500615,0.005208652,29.6015596,33.86709081
8.15E-09,5760.788457,0.012457992,4.12E-09,29.69747229,34.59260306
0,0,0,2.776358913,NaN,11.08467291
2.01E-08,219.8609234,0.007201978,0.024319895,11.29479667,11.29485826
1.25E-07,3917.130712,6.04E-10,2.74E-08,11.55399752,11.51935514
9.59E-08,2833.966052,5.52E-09,5.25E-09,11.64484165,11.53952101
1.75E-08,1841.504381,0.000326115,0.002640195,11.56526719,11.43989389
1.06E-08,510.1920731,0.001124255,0.001621487,11.47065746,11.29820296
6.09E-09,1355.849468,3.46E-09,1.23E-08,11.52872264,11.46351135
6.74E-09,3037.096452,7.78E-09,1.53E-05,11.81048628,11.90966692
6.18E-08,2113.536725,1.12E-06,9.36E-09,12.07939631,12.29719176
8.45E-08,1003.242674,2.16E-08,1.03E-05,12.16269935,12.15129867
1.74E-08,113.6952746,0.000105123,0.011445649,12.10579372,11.84702188
1.43E-09,172.5166592,0.003448239,0.005322058,11.93072281,11.32124456
-1.27E-09,0,-1.27E-08,0.004815564,11.7229395,11.04025158
5.52E-10,37.34009871,0.00082239,0.00085239,11.60070215,11.14918497
