Cycle,TMP,Kb,Ki,Kc,Ks,y_pred,COD,TN,SS,del_TMP,del_TMP_accu,slope
28,8.563684534,3.88E-09,75.67682716,0.000464548,0.003095212,8.645172113,118.1333333,51.942,229.5466667,-0.008041253,0.849178044,0.0121311149
28,8.753647547,5.42E-09,48.89948819,0.002267139,0.001470087,8.663344981,117.72,51.232,226.4333333,0.189963013,1.039141057,0.0146357895
28,8.693133868,4.20E-10,6.178243294,0.001468579,0.003077831,8.702266055,116.8133333,50.418,226.2133333,-0.060513679,0.978627378,0.0135920469
28,8.278946187,7.82E-09,215.0723128,0.00186501,0.000487194,8.682210409,116.3866667,50.418,226.88,-0.414187681,0.564439697,0.00773205064
28,8.632456849,5.85E-09,401.217503,0.001380175,0.000286366,8.694263608,114.9,49.14,223.5466667,0.353510662,0.917950359,0.0124047346
28,9.517411659,5.85E-09,417.4984487,0.001715895,5.63E-05,8.761966427,112.9066667,47.586,215.9933333,0.88495481,1.802905169,0.0240387356
28,9.602119768,1.42E-08,767.2394637,1.12E-08,9.62E-09,9.041104401,112.1866667,46.852,214.44,0.084708109,1.887613278,0.0248370168
28,8.854740664,5.02E-10,232.1919742,1.23E-07,0.003603836,8.877693954,109.9466667,46.534,209.7733333,-0.747379104,1.140234174,0.014808236
28,8.716719088,2.43E-10,158.4525902,0.00012176,0.003769146,8.900679323,110.4266667,46.178,207.9933333,-0.138021576,1.002212598,0.0128488795
28,8.9591004,8.42E-09,674.6460855,0.000203702,1.43E-08,8.894961556,111.44,46.38,208.44,0.242381312,1.24459391,0.0157543533
28,8.732529379,1.04E-08,446.6735711,0.000900627,3.53E-05,8.912824468,114.9666667,46.94,208.8866667,-0.226571021,1.018022889,0.0127252861
28,8.439198767,1.58E-09,18.75698077,0.000235265,0.003860197,8.952339219,116.58,47.798,214.22,-0.293330612,0.724692277,0.00894681823
28,8.553057086,5.80E-11,124.7642161,0.000584084,0.003338331,8.938063815,118.52,48.026,213.78,0.113858319,0.838550596,0.0102262268
28,8.986460408,1.70E-09,240.6268268,0.00226972,0.001142672,8.940182195,116.48,47.582,208.4466667,0.433403322,1.271953918,0.015324746
28,9.10824549,4.72E-10,648.8700389,0.001487883,5.80E-05,8.959097086,115.88,48.48,204.4466667,0.121785082,1.393739,0.016592131
28,8.974326707,1.72E-09,329.8677232,0.000638631,0.002277561,8.995296999,115.26,49.092,206.6666667,-0.133918783,1.259820217,0.0148214143
28,8.888066533,7.98E-09,553.3083093,0.000621021,3.74E-05,9.005638774,113.04,48.72,203.78,-0.086260174,1.173560043,0.013646047
28,9.161432429,2.10E-08,223.853239,6.42E-09,0,9.079042299,115.18,49.588,206.6666667,0.273365896,1.446925939,0.0166313326
28,9.430888302,4.50E-09,318.9167371,0.001138104,0.001472419,9.083036146,117.4333333,50.706,213.3333333,0.269455873,1.716381812,0.0195043388
28,9.744789481,8.40E-10,640.5749528,0.001642442,5.35E-05,9.1221267,117.42,50.642,210.8866667,0.313901179,2.030282991,0.0228121684
28,9.760305893,1.11E-08,232.6109115,1.12E-09,0.002008524,9.206851828,117.8333333,51.146,214.8866667,0.015516412,2.045799403,0.0227311045
28,9.169580492,1.22E-08,305.9534445,0.001428124,3.77E-05,9.220159244,117.5866667,51.876,216,-0.590725401,1.455074002,0.0159898242
28,8.946051325,7.61E-09,279.3951718,1.87E-05,0.002311776,9.237774195,117.02,51.302,212.4466667,-0.223529167,1.231544835,0.0133863569
28,9.665536909,3.35E-09,867.2954898,0.000351025,3.49E-08,9.247389117,116.9133333,51.266,212.2266667,0.719485584,1.951030419,0.0209788217
28,10.31402648,2.39E-08,1082.847274,7.16E-11,4.45E-09,10.2691325,118.54,52.806,217.78,0.648489571,2.59951999,0.027654468
28,10.09666776,4.37E-09,442.8679143,0.000182869,0.00234029,9.406066782,114.8933333,52.48,216,-0.21735872,2.38216127,0.0250753818
28,9.886257776,2.00E-08,203.4069648,1.57E-05,0.000871474,9.487436981,115.4066667,52.346,215.3333333,-0.210409984,2.171751286,0.0226224092
28,9.89561897,8.32E-09,722.1239781,0.000549769,2.17E-08,9.490169699,113.08,51.888,212.44,0.009361194,2.18111248,0.0224856957
